listing_id,reviewer_id,rating
9452127,6279455,3
9452127,23770684,4
9452127,29070567,3
9452127,58381183,4
9452127,29014080,3
9452127,62596970,3
9452127,64288274,5
9452127,59071346,4
9452127,64934661,4
9452127,10147136,4
9452127,36661817,5
9452127,44774424,5
9452127,62342928,5
9452127,35911325,5
9452127,70298951,5
9452127,21288203,5
9452127,124270928,5
9452127,5917300,5
9452127,56075148,5
9452127,16624155,3
9452127,113458549,5
9452127,136002309,4
9452127,47511144,3
6184827,31645954,4
6184827,1872204,3
6184827,14279077,4
6921831,41796998,5
6921831,30152114,5
6921831,7234179,3
6921831,125212928,5
6921831,80340079,4
766542,4824903,4
766542,2372033,4
766542,2816189,4
766542,7249850,5
6078066,24404516,5
6078066,7372886,4
6078066,7335439,4
6078066,5941302,5
6078066,40052644,3
6078066,34687414,4
6078066,28094777,5
6078066,9202314,4
6078066,20404707,4
6078066,36122637,5
6078066,4820471,3
6078066,33840687,2
6078066,10459493,2
6078066,47743271,3
6078066,47906366,5
6078066,47524014,3
6078066,7344099,5
6078066,45757382,3
6078066,40430683,4
6078066,53756928,4
6078066,45955073,1
6078066,49193387,1
6078066,58604252,3
6078066,44303973,5
6078066,6305772,3
6078066,64231498,3
6078066,46134094,5
6078066,41279475,5
6078066,18592931,3
6078066,69841627,2
6078066,72001568,5
6078066,65556847,4
6078066,68888382,4
6078066,220509,4
6078066,3378187,5
6078066,8077751,5
6078066,23202127,3
6078066,3260164,4
6078066,3659929,5
6078066,68830067,5
6078066,54735062,5
6078066,51369115,3
6078066,2537987,5
6078066,38675313,5
6078066,62313520,3
6078066,16252205,5
6078066,19905714,5
6078066,6478016,5
6078066,28003566,4
6078066,62243125,4
6078066,15768205,5
6078066,31780864,5
6078066,24769045,3
6078066,73483930,2
6078066,25201135,5
6078066,19232611,4
6078066,8016287,5
6078066,105377167,4
6078066,107491151,5
6078066,50241776,5
6078066,109763792,5
6078066,9695959,4
6078066,38699430,3
6078066,24268925,5
6078066,9536492,5
6078066,81169764,5
6078066,5273094,3
6078066,35500850,4
6078066,60828499,5
6078066,14762334,2
6078066,63367587,3
6078066,109438405,4
6078066,52453983,4
6078066,118089889,4
6078066,121714053,3
6078066,88871610,2
6078066,119312780,5
6078066,55951035,3
6078066,6498305,3
6168880,3205819,4
6168880,5749818,5
6168880,10493279,4
6168880,6211405,2
6168880,31161138,4
6168880,22142697,5
6168880,15211224,4
6168880,1615589,4
6168880,33273853,4
6168880,9446682,4
6168880,32210196,4
6168880,14224648,3
6168880,42472481,2
